Timestamp,Coin,Strategy_Signal,Signal_Price,Current_Price,Performance_Percent,Confidence,Strategy,Signal_Timestamp,Analysis_Result,Success
2025-08-15 10:35:01,SOL,SELL,162.7038,168.6803,-3.67,69,conservative_trend,2025-08-15 10:35:01,SELL signal for SOL,No
2025-08-12 08:25:43,AVAX,BUY,37.4588,39.0309,4.2,77,aggressive_breakout,2025-08-12 08:25:43,BUY signal for AVAX,Yes
2025-08-13 16:00:44,AVAX,BUY,48.2457,54.5019,12.97,84,conservative_trend,2025-08-13 16:00:44,BUY signal for AVAX,Yes
2025-08-13 03:18:27,DOGE,SELL,0.1626,0.1598,1.72,88,aggressive_breakout,2025-08-13 03:18:27,SELL signal for DOGE,Yes
2025-07-27 18:30:52,XRP,SELL,2.6502,2.6154,1.31,93,conservative_trend,2025-07-27 18:30:52,SELL signal for XRP,Yes
2025-08-15 01:01:59,DOGE,SELL,0.1529,0.166,-8.57,81,aggressive_breakout,2025-08-15 01:01:59,SELL signal for DOGE,No
2025-07-25 13:42:02,DOGE,BUY,0.2356,0.2257,-4.2,66,aggressive_breakout,2025-07-25 13:42:02,BUY signal for DOGE,No
2025-08-15 13:56:16,SOL,SELL,192.2842,210.9385,-9.7,84,moderate_momentum,2025-08-15 13:56:16,SELL signal for SOL,No
2025-08-06 15:26:46,BNB,BUY,678.4159,768.9439,13.34,76,moderate_momentum,2025-08-06 15:26:46,BUY signal for BNB,Yes
2025-08-16 00:18:01,LINK,SELL,25.794,22.7997,11.61,68,aggressive_breakout,2025-08-16 00:18:01,SELL signal for LINK,Yes
2025-08-05 16:47:01,LINK,SELL,26.7307,24.4473,8.54,68,conservative_trend,2025-08-05 16:47:01,SELL signal for LINK,Yes
2025-08-08 07:12:35,DOT,BUY,11.1973,9.8104,-12.39,94,conservative_trend,2025-08-08 07:12:35,BUY signal for DOT,No
2025-07-26 01:43:56,ETH,BUY,3819.5462,3980.8721,4.22,93,conservative_trend,2025-07-26 01:43:56,BUY signal for ETH,Yes
2025-07-29 10:05:00,XRP,SELL,2.5811,2.9084,-12.68,65,moderate_momentum,2025-07-29 10:05:00,SELL signal for XRP,No
2025-08-10 14:23:05,SOL,SELL,191.9485,198.8952,-3.62,73,moderate_momentum,2025-08-10 14:23:05,SELL signal for SOL,No
2025-08-05 06:29:52,AVAX,SELL,44.1006,45.9185,-4.12,77,conservative_trend,2025-08-05 06:29:52,SELL signal for AVAX,No
2025-08-05 13:46:28,LINK,BUY,27.2988,31.3169,14.72,81,aggressive_breakout,2025-08-05 13:46:28,BUY signal for LINK,Yes
2025-08-19 05:31:37,DOGE,SELL,0.2157,0.2229,-3.34,63,conservative_trend,2025-08-19 05:31:37,SELL signal for DOGE,No
2025-08-15 03:41:06,SOL,BUY,197.1639,203.0477,2.98,81,conservative_trend,2025-08-15 03:41:06,BUY signal for SOL,Yes
2025-07-24 13:25:33,BNB,BUY,710.754,746.2649,5.0,78,aggressive_breakout,2025-07-24 13:25:33,BUY signal for BNB,Yes
2025-08-10 14:23:26,ETH,BUY,4084.9535,3987.7211,-2.38,93,moderate_momentum,2025-08-10 14:23:26,BUY signal for ETH,No
2025-08-09 19:51:14,DOGE,SELL,0.1753,0.1664,5.08,88,moderate_momentum,2025-08-09 19:51:14,SELL signal for DOGE,Yes
2025-08-12 00:47:09,AVAX,BUY,48.9422,54.8872,12.15,61,aggressive_breakout,2025-08-12 00:47:09,BUY signal for AVAX,Yes
